2022-08-07 00:06:51,471 - INFO - Loading Data...
2022-08-07 00:06:55,120 - INFO - Init nn...
2022-08-07 00:06:58,859 - INFO - Training...
2022-08-07 00:07:05,745 - INFO - [1,   501] loss: 0.234
2022-08-07 00:07:05,790 - INFO - [1,   505] loss: 0.233
2022-08-07 00:07:05,834 - INFO - [1,   509] loss: 0.232
2022-08-07 00:07:05,879 - INFO - [1,   513] loss: 0.232
2022-08-07 00:07:05,925 - INFO - [1,   517] loss: 0.231
2022-08-07 00:07:05,975 - INFO - [1,   521] loss: 0.230
2022-08-07 00:07:06,019 - INFO - [1,   525] loss: 0.230
2022-08-07 00:07:06,067 - INFO - [1,   529] loss: 0.229
2022-08-07 00:07:06,113 - INFO - [1,   533] loss: 0.229
2022-08-07 00:07:06,159 - INFO - [1,   537] loss: 0.228
2022-08-07 00:07:06,206 - INFO - [1,   541] loss: 0.227
2022-08-07 00:07:06,251 - INFO - [1,   545] loss: 0.227
2022-08-07 00:07:06,296 - INFO - [1,   549] loss: 0.226
2022-08-07 00:07:06,341 - INFO - [1,   553] loss: 0.225
2022-08-07 00:07:06,385 - INFO - [1,   557] loss: 0.225
2022-08-07 00:07:06,430 - INFO - [1,   561] loss: 0.224
2022-08-07 00:07:06,476 - INFO - [1,   565] loss: 0.223
2022-08-07 00:07:06,521 - INFO - [1,   569] loss: 0.223
2022-08-07 00:07:06,566 - INFO - [1,   573] loss: 0.222
2022-08-07 00:07:06,611 - INFO - [1,   577] loss: 0.222
2022-08-07 00:07:06,656 - INFO - [1,   581] loss: 0.221
2022-08-07 00:07:06,701 - INFO - [1,   585] loss: 0.221
2022-08-07 00:07:06,746 - INFO - [1,   589] loss: 0.220
2022-08-07 00:07:06,791 - INFO - [1,   593] loss: 0.220
2022-08-07 00:07:06,836 - INFO - [1,   597] loss: 0.219
2022-08-07 00:07:06,882 - INFO - [1,   601] loss: 0.218
2022-08-07 00:07:06,927 - INFO - [1,   605] loss: 0.218
2022-08-07 00:07:06,971 - INFO - [1,   609] loss: 0.217
2022-08-07 00:07:07,016 - INFO - [1,   613] loss: 0.217
2022-08-07 00:07:07,060 - INFO - [1,   617] loss: 0.217
2022-08-07 00:07:07,105 - INFO - [1,   621] loss: 0.216
2022-08-07 00:07:07,150 - INFO - [1,   625] loss: 0.216
2022-08-07 00:07:07,195 - INFO - [1,   629] loss: 0.215
2022-08-07 00:07:07,240 - INFO - [1,   633] loss: 0.215
2022-08-07 00:07:07,285 - INFO - [1,   637] loss: 0.214
2022-08-07 00:07:07,329 - INFO - [1,   641] loss: 0.214
2022-08-07 00:07:07,374 - INFO - [1,   645] loss: 0.213
2022-08-07 00:07:07,418 - INFO - [1,   649] loss: 0.213
2022-08-07 00:07:07,464 - INFO - [1,   653] loss: 0.213
2022-08-07 00:07:07,509 - INFO - [1,   657] loss: 0.212
2022-08-07 00:07:07,555 - INFO - [1,   661] loss: 0.212
2022-08-07 00:07:07,601 - INFO - [1,   665] loss: 0.212
2022-08-07 00:07:07,647 - INFO - [1,   669] loss: 0.211
2022-08-07 00:07:07,692 - INFO - [1,   673] loss: 0.211
2022-08-07 00:07:07,737 - INFO - [1,   677] loss: 0.210
2022-08-07 00:07:07,782 - INFO - [1,   681] loss: 0.210
2022-08-07 00:07:07,830 - INFO - [1,   685] loss: 0.209
2022-08-07 00:07:07,877 - INFO - [1,   689] loss: 0.209
2022-08-07 00:07:07,922 - INFO - [1,   693] loss: 0.208
2022-08-07 00:07:07,967 - INFO - [1,   697] loss: 0.208
2022-08-07 00:07:08,013 - INFO - [1,   701] loss: 0.207
2022-08-07 00:07:08,058 - INFO - [1,   705] loss: 0.207
2022-08-07 00:07:08,103 - INFO - [1,   709] loss: 0.206
2022-08-07 00:07:08,148 - INFO - [1,   713] loss: 0.206
2022-08-07 00:07:08,193 - INFO - [1,   717] loss: 0.206
2022-08-07 00:07:08,239 - INFO - [1,   721] loss: 0.206
2022-08-07 00:07:08,284 - INFO - [1,   725] loss: 0.205
2022-08-07 00:07:08,329 - INFO - [1,   729] loss: 0.205
2022-08-07 00:07:08,374 - INFO - [1,   733] loss: 0.205
2022-08-07 00:07:08,419 - INFO - [1,   737] loss: 0.204
2022-08-07 00:07:08,464 - INFO - [1,   741] loss: 0.204
2022-08-07 00:07:08,509 - INFO - [1,   745] loss: 0.204
2022-08-07 00:07:08,555 - INFO - [1,   749] loss: 0.203
2022-08-07 00:07:08,600 - INFO - [1,   753] loss: 0.203
2022-08-07 00:07:08,645 - INFO - [1,   757] loss: 0.203
2022-08-07 00:07:08,690 - INFO - [1,   761] loss: 0.202
2022-08-07 00:07:08,735 - INFO - [1,   765] loss: 0.202
2022-08-07 00:07:08,780 - INFO - [1,   769] loss: 0.202
2022-08-07 00:07:08,825 - INFO - [1,   773] loss: 0.202
2022-08-07 00:07:08,870 - INFO - [1,   777] loss: 0.201
2022-08-07 00:07:08,916 - INFO - [1,   781] loss: 0.201
2022-08-07 00:07:08,960 - INFO - [1,   785] loss: 0.200
2022-08-07 00:07:09,006 - INFO - [1,   789] loss: 0.200
2022-08-07 00:07:09,050 - INFO - [1,   793] loss: 0.200
2022-08-07 00:07:09,095 - INFO - [1,   797] loss: 0.199
2022-08-07 00:07:09,140 - INFO - [1,   801] loss: 0.199
2022-08-07 00:07:09,184 - INFO - [1,   805] loss: 0.199
2022-08-07 00:07:09,230 - INFO - [1,   809] loss: 0.198
2022-08-07 00:07:09,274 - INFO - [1,   813] loss: 0.198
2022-08-07 00:07:09,319 - INFO - [1,   817] loss: 0.198
2022-08-07 00:07:09,364 - INFO - [1,   821] loss: 0.197
2022-08-07 00:07:09,409 - INFO - [1,   825] loss: 0.197
2022-08-07 00:07:09,454 - INFO - [1,   829] loss: 0.197
2022-08-07 00:07:09,499 - INFO - [1,   833] loss: 0.196
2022-08-07 00:07:09,544 - INFO - [1,   837] loss: 0.196
2022-08-07 00:07:09,589 - INFO - [1,   841] loss: 0.196
2022-08-07 00:07:09,633 - INFO - [1,   845] loss: 0.196
2022-08-07 00:07:09,678 - INFO - [1,   849] loss: 0.195
2022-08-07 00:07:09,723 - INFO - [1,   853] loss: 0.195
2022-08-07 00:07:09,770 - INFO - [1,   857] loss: 0.195
2022-08-07 00:07:09,817 - INFO - [1,   861] loss: 0.195
2022-08-07 00:07:09,866 - INFO - [1,   865] loss: 0.194
2022-08-07 00:07:09,917 - INFO - [1,   869] loss: 0.194
2022-08-07 00:07:09,966 - INFO - [1,   873] loss: 0.194
2022-08-07 00:07:10,012 - INFO - [1,   877] loss: 0.194
2022-08-07 00:07:10,057 - INFO - [1,   881] loss: 0.194
2022-08-07 00:07:10,103 - INFO - [1,   885] loss: 0.193
2022-08-07 00:07:10,155 - INFO - [1,   889] loss: 0.193
2022-08-07 00:07:10,205 - INFO - [1,   893] loss: 0.193
2022-08-07 00:07:10,251 - INFO - [1,   897] loss: 0.193
2022-08-07 00:07:10,297 - INFO - [1,   901] loss: 0.192
2022-08-07 00:07:10,343 - INFO - [1,   905] loss: 0.192
2022-08-07 00:07:10,388 - INFO - [1,   909] loss: 0.192
2022-08-07 00:07:10,433 - INFO - [1,   913] loss: 0.192
2022-08-07 00:07:10,478 - INFO - [1,   917] loss: 0.191
2022-08-07 00:07:10,524 - INFO - [1,   921] loss: 0.191
2022-08-07 00:07:10,571 - INFO - [1,   925] loss: 0.191
2022-08-07 00:07:10,616 - INFO - [1,   929] loss: 0.191
2022-08-07 00:07:10,664 - INFO - [1,   933] loss: 0.190
2022-08-07 00:07:10,710 - INFO - [1,   937] loss: 0.190
2022-08-07 00:07:10,755 - INFO - [1,   941] loss: 0.190
2022-08-07 00:07:10,800 - INFO - [1,   945] loss: 0.190
2022-08-07 00:07:10,845 - INFO - [1,   949] loss: 0.189
2022-08-07 00:07:10,891 - INFO - [1,   953] loss: 0.189
2022-08-07 00:07:10,937 - INFO - [1,   957] loss: 0.189
2022-08-07 00:07:10,983 - INFO - [1,   961] loss: 0.189
2022-08-07 00:07:11,030 - INFO - [1,   965] loss: 0.188
2022-08-07 00:07:11,077 - INFO - [1,   969] loss: 0.188
2022-08-07 00:07:11,123 - INFO - [1,   973] loss: 0.188
2022-08-07 00:07:11,169 - INFO - [1,   977] loss: 0.188
2022-08-07 00:07:11,214 - INFO - [1,   981] loss: 0.187
2022-08-07 00:07:11,259 - INFO - [1,   985] loss: 0.187
2022-08-07 00:07:11,305 - INFO - [1,   989] loss: 0.187
2022-08-07 00:07:11,350 - INFO - [1,   993] loss: 0.187
2022-08-07 00:07:11,395 - INFO - [1,   997] loss: 0.187
2022-08-07 00:07:11,440 - INFO - [1,  1001] loss: 0.186
2022-08-07 00:07:11,486 - INFO - [1,  1005] loss: 0.186
2022-08-07 00:07:11,531 - INFO - [1,  1009] loss: 0.186
2022-08-07 00:07:11,579 - INFO - [1,  1013] loss: 0.186
2022-08-07 00:07:11,625 - INFO - [1,  1017] loss: 0.186
2022-08-07 00:07:11,672 - INFO - [1,  1021] loss: 0.185
2022-08-07 00:07:11,719 - INFO - [1,  1025] loss: 0.185
2022-08-07 00:07:11,764 - INFO - [1,  1029] loss: 0.185
2022-08-07 00:07:11,810 - INFO - [1,  1033] loss: 0.185
2022-08-07 00:07:11,856 - INFO - [1,  1037] loss: 0.184
2022-08-07 00:07:11,902 - INFO - [1,  1041] loss: 0.184
2022-08-07 00:07:11,948 - INFO - [1,  1045] loss: 0.184
2022-08-07 00:07:11,995 - INFO - [1,  1049] loss: 0.184
2022-08-07 00:07:12,041 - INFO - [1,  1053] loss: 0.184
2022-08-07 00:07:12,087 - INFO - [1,  1057] loss: 0.183
2022-08-07 00:07:12,133 - INFO - [1,  1061] loss: 0.183
2022-08-07 00:07:12,180 - INFO - [1,  1065] loss: 0.183
2022-08-07 00:07:12,228 - INFO - [1,  1069] loss: 0.183
2022-08-07 00:07:12,276 - INFO - [1,  1073] loss: 0.183
2022-08-07 00:07:12,321 - INFO - [1,  1077] loss: 0.182
2022-08-07 00:07:12,366 - INFO - [1,  1081] loss: 0.183
2022-08-07 00:07:12,412 - INFO - [1,  1085] loss: 0.182
2022-08-07 00:07:12,459 - INFO - [1,  1089] loss: 0.182
2022-08-07 00:07:12,504 - INFO - [1,  1093] loss: 0.182
2022-08-07 00:07:12,551 - INFO - [1,  1097] loss: 0.182
2022-08-07 00:07:12,598 - INFO - [1,  1101] loss: 0.181
2022-08-07 00:07:12,644 - INFO - [1,  1105] loss: 0.181
2022-08-07 00:07:12,690 - INFO - [1,  1109] loss: 0.181
2022-08-07 00:07:12,735 - INFO - [1,  1113] loss: 0.181
2022-08-07 00:07:12,780 - INFO - [1,  1117] loss: 0.181
2022-08-07 00:07:12,825 - INFO - [1,  1121] loss: 0.181
2022-08-07 00:07:12,871 - INFO - [1,  1125] loss: 0.180
2022-08-07 00:07:12,917 - INFO - [1,  1129] loss: 0.180
2022-08-07 00:07:12,963 - INFO - [1,  1133] loss: 0.180
2022-08-07 00:07:13,008 - INFO - [1,  1137] loss: 0.180
2022-08-07 00:07:13,054 - INFO - [1,  1141] loss: 0.180
2022-08-07 00:07:13,101 - INFO - [1,  1145] loss: 0.179
2022-08-07 00:07:13,145 - INFO - [1,  1149] loss: 0.179
2022-08-07 00:07:13,190 - INFO - [1,  1153] loss: 0.179
2022-08-07 00:07:13,236 - INFO - [1,  1157] loss: 0.179
2022-08-07 00:07:13,281 - INFO - [1,  1161] loss: 0.179
2022-08-07 00:07:13,325 - INFO - [1,  1165] loss: 0.178
2022-08-07 00:07:13,370 - INFO - [1,  1169] loss: 0.178
2022-08-07 00:07:13,415 - INFO - [1,  1173] loss: 0.178
2022-08-07 00:07:13,461 - INFO - [1,  1177] loss: 0.178
2022-08-07 00:07:13,511 - INFO - [1,  1181] loss: 0.178
2022-08-07 00:07:13,557 - INFO - [1,  1185] loss: 0.178
2022-08-07 00:07:13,602 - INFO - [1,  1189] loss: 0.178
2022-08-07 00:07:13,647 - INFO - [1,  1193] loss: 0.178
2022-08-07 00:07:13,692 - INFO - [1,  1197] loss: 0.177
2022-08-07 00:07:13,737 - INFO - [1,  1201] loss: 0.177
2022-08-07 00:07:13,782 - INFO - [1,  1205] loss: 0.177
2022-08-07 00:07:13,828 - INFO - [1,  1209] loss: 0.177
2022-08-07 00:07:13,873 - INFO - [1,  1213] loss: 0.177
2022-08-07 00:07:13,918 - INFO - [1,  1217] loss: 0.177
2022-08-07 00:07:13,963 - INFO - [1,  1221] loss: 0.176
2022-08-07 00:07:14,008 - INFO - [1,  1225] loss: 0.176
2022-08-07 00:07:14,055 - INFO - [1,  1229] loss: 0.176
2022-08-07 00:07:14,100 - INFO - [1,  1233] loss: 0.176
2022-08-07 00:07:14,145 - INFO - [1,  1237] loss: 0.176
2022-08-07 00:07:14,190 - INFO - [1,  1241] loss: 0.176
2022-08-07 00:07:14,235 - INFO - [1,  1245] loss: 0.175
2022-08-07 00:07:14,280 - INFO - [1,  1249] loss: 0.175
2022-08-07 00:07:14,324 - INFO - [1,  1253] loss: 0.175
2022-08-07 00:07:14,369 - INFO - [1,  1257] loss: 0.175
2022-08-07 00:07:14,413 - INFO - [1,  1261] loss: 0.175
